"cohort","edu","sex","origin","women_total","children_total","parity_0","parity_1","parity_2","parity_3","parity_4","parity_5","parity_6","parity_7","parity_8p","CFR","CFR1","CFR2","CFR3","CFR4","CFR5","CFR6","CFR7","CFR8p","SHARE0","SHARE1","SHARE2","SHARE3","SHARE4","SHARE5","SHARE6","SHARE7","SHARE8p","PPR01","PPR12","PPR23","PPR34","PPR45","PPR56","PPR67"
1945,"ISCED0-2A","F","Total",1600,5406,24,89,270,525,388,208,70,20,6,3.379,0.985,0.929,0.761,0.432,0.190,0.060,0.016,0.005,0.015,0.056,0.169,0.328,0.242,0.130,0.044,0.013,0.004,0.985,0.944,0.818,0.569,0.439,0.316,0.271
1945,"ISCED3C-A","F","Total",316,807,7,29,135,94,37,8,4,2,0,2.554,0.978,0.886,0.459,0.161,0.044,0.019,0.006,0.000,0.022,0.092,0.427,0.297,0.117,0.025,0.013,0.006,-0.000,0.978,0.906,0.518,0.352,0.275,0.429,0.333
1945,"ISCED5B-6","F","Total",105,243,5,6,54,32,7,1,0,0,0,2.314,0.952,0.895,0.381,0.076,0.010,0.000,0.000,0.000,0.048,0.057,0.514,0.305,0.067,0.010,0.000,0.000,-0.000,0.952,0.940,0.426,0.200,0.125,0.000,0.000
1946,"ISCED0-2A","F","Total",1773,5628,46,96,369,591,437,157,58,14,5,3.174,0.974,0.920,0.712,0.378,0.132,0.043,0.011,0.004,0.026,0.054,0.208,0.333,0.246,0.089,0.033,0.008,0.003,0.974,0.944,0.774,0.532,0.349,0.329,0.247
1946,"ISCED3C-A","F","Total",401,1016,12,35,162,139,42,5,3,1,2,2.534,0.970,0.883,0.479,0.132,0.027,0.015,0.007,0.020,0.030,0.087,0.404,0.347,0.105,0.012,0.007,0.002,0.005,0.970,0.910,0.542,0.276,0.208,0.545,0.500
1946,"ISCED5B-6","F","Total",129,281,9,14,65,31,7,2,1,0,0,2.178,0.930,0.822,0.318,0.078,0.023,0.008,0.000,-0.000,0.070,0.109,0.504,0.240,0.054,0.016,0.008,0.000,0.000,0.930,0.883,0.387,0.244,0.300,0.333,0.000
1947,"ISCED0-2A","F","Total",1850,5757,38,116,412,654,395,175,37,15,8,3.112,0.979,0.917,0.694,0.341,0.127,0.032,0.012,0.009,0.021,0.063,0.223,0.354,0.214,0.095,0.020,0.008,0.004,0.979,0.936,0.757,0.491,0.373,0.255,0.383
1947,"ISCED3C-A","F","Total",416,1032,10,43,184,126,34,13,4,1,1,2.481,0.976,0.873,0.430,0.127,0.046,0.014,0.005,0.010,0.024,0.103,0.442,0.303,0.082,0.031,0.010,0.002,0.002,0.976,0.894,0.493,0.296,0.358,0.316,0.333
1947,"ISCED5B-6","F","Total",145,323,8,17,73,40,4,1,0,1,1,2.228,0.945,0.828,0.324,0.048,0.021,0.014,0.014,0.034,0.055,0.117,0.503,0.276,0.028,0.007,0.000,0.007,0.007,0.945,0.876,0.392,0.149,0.429,0.667,1.000
1948,"ISCED0-2A","F","Total",1877,5691,45,114,456,667,400,136,41,14,4,3.032,0.976,0.915,0.672,0.317,0.104,0.031,0.010,0.006,0.024,0.061,0.243,0.355,0.213,0.072,0.022,0.007,0.002,0.976,0.938,0.735,0.471,0.328,0.303,0.305
1948,"ISCED3C-A","F","Total",486,1214,15,40,206,161,49,11,2,1,1,2.498,0.969,0.887,0.463,0.132,0.031,0.008,0.004,0.004,0.031,0.082,0.424,0.331,0.101,0.023,0.004,0.002,0.002,0.969,0.915,0.522,0.284,0.234,0.267,0.500
1948,"ISCED5B-6","F","Total",160,356,9,9,91,42,7,1,1,0,0,2.225,0.944,0.887,0.319,0.056,0.013,0.006,0.000,0.000,0.056,0.056,0.569,0.263,0.044,0.006,0.006,0.000,-0.000,0.944,0.940,0.359,0.176,0.222,0.500,0.000
1949,"ISCED0-2A","F","Total",1924,5620,43,128,510,721,367,110,31,9,5,2.921,0.978,0.911,0.646,0.271,0.081,0.023,0.007,0.004,0.022,0.067,0.265,0.375,0.191,0.057,0.016,0.005,0.003,0.978,0.932,0.709,0.420,0.297,0.290,0.311
1949,"ISCED3C-A","F","Total",530,1231,19,51,262,152,35,7,3,1,0,2.323,0.964,0.868,0.374,0.087,0.021,0.008,0.002,-0.000,0.036,0.096,0.494,0.287,0.066,0.013,0.006,0.002,0.000,0.964,0.900,0.430,0.232,0.239,0.364,0.250
